STATION_NAME,STATION_ID,X,Y,LATITUDE,LONGITUDE,MRT_TRACK_CODE
KALLANG,EW10,32236.6038,32643.3302,1.31148891,103.8713766,EW
KANGKAR,SE4,35662.73,40658.9821,1.383978902,103.9021539,SLRT
KEAT HONG,BP3,18622.5727,40064.5711,1.378602766,103.7490799,BPLRT
KEMBANGAN,EW6,36862.1237,33699.3568,1.321038249,103.9129282,EW
KENT RIDGE,CC24,22581.5421,30650.0972,1.293462633,103.7846438,CC
KHATIB,NS14,27962.3108,44352.568,1.41738337,103.83298,NS
KING ALBERT PARK,DT6,22489.8451,35316.6349,1.335665121,103.7838201,DT
KOVAN,NE13,33758.7578,38027.2795,1.360179171,103.8850503,NE
KRANJI,NS7,20081.6974,45214.5479,1.425177699,103.7621874,NS
KUPANG,SW3,33334.8164,42232.8408,1.398212828,103.881242,SLRT
LABRADOR PARK,CC27,24619.0578,28313.6298,1.272332732,103.8029471,CC
LAKESIDE,EW26,15494.5171,36267.1619,1.344259249,103.7209802,EW
LAVENDER,EW11,31284.2589,32186.4342,1.30735702,103.8628215,EW
LAYAR,SW6,33198.3233,41554.6829,1.392079839,103.8800158,SLRT
LITTLE INDIA,DT12,29698.9692,32168.8611,1.303916484,103.8524167,DT
LITTLE INDIA,NE7,29817.1982,32124.8312,1.307198223,103.8485807,NE
LORONG CHUAN,CC14,31431.4054,37079.9444,1.351612171,103.8641434,CC
MACPHERSON,CC10,34340.0124,34286.1222,1.326345372,103.8902718,CC
MACPHERSON,DT26,34235.7966,34256.4317,1.326076883,103.8893356,DT
MARINA BAY,NS27,30368.2057,28766.3819,1.276427355,103.8545925,NS
MARINA BAY,CE2,30423.4296,28735.7843,1.276150637,103.8550886,CC
MARINA SOUTH PIER,NS28,31287.7063,28203.4939,1.271336711,103.8628525,NS
MARSILING,NS8,21406.6874,46025.7686,1.432514421,103.77409,NS
MARYMOUNT,CC16,28679.3688,36758.7136,1.348707263,103.8394214,CC
MATTAR,DT25,33556.5834,34344.8585,1.326876715,103.8832341,DT
MERIDIAN,PE2,36416.7925,42089.0886,1.396912053,103.9089277,PLRT
MOUNTBATTEN,CC7,33476.5634,32058.7418,1.306201905,103.8825153,CC
NEWTON,DT11,28499.9628,32877.5173,1.313607102,103.8378098,DT
NEWTON,NS21,28519.3616,32735.2072,1.3123201,103.8379841,NS
NIBONG,PW5,35455.6286,43743.0854,1.411870458,103.9002935,PLRT
NICOLL HIGHWAY,CC5,31374.1708,31347.1516,1.299766835,103.8636292,CC
NOVENA,NS20,29169.3298,33633.1535,1.320440791,103.8438228,NS
OASIS,PE6,36837.1178,42683.4018,1.402286677,103.9127036,PLRT
ONE-NORTH,CC23,22896.0731,31346.4085,1.299759879,103.7874693,CC
ORCHARD,NS22,27880.1256,31813.1134,1.303981012,103.8322417,NS
OUTRAM PARK,NE3,28696.2602,29135.382,1.28140498,103.839125,NE
OUTRAM PARK,EW16,28646.3739,29316.7727,1.279764543,103.8395732,EW
PASIR PANJANG,CC26,23329.2647,28742.7658,1.276213523,103.7913607,CC
PASIR RIS,EW1,40903.7716,39443.3983,1.372983774,103.9492348,EW
PAYA LEBAR,EW8,34648.6773,33375.7341,1.318112082,103.8930446,EW
PAYA LEBAR,CC9,34550.5756,33300.3402,1.317430268,103.8921633,CC
PENDING,BP8,21094.7812,39792.4936,1.376142883,103.7712881,BPLRT
PETIR,BP7,20582.7273,39970.2513,1.377750334,103.7666882,BPLRT
PHOENIX,BP5,19621.7772,40066.3155,1.378618844,103.7580559,BPLRT
PIONEER,EW28,12864.9592,35529.4973,1.337586882,103.6973586,EW
POTONG PASIR,NE10,31977.1677,34842.7289,1.331379525,103.869046,NE
PROMENADE,DT15,31064.3414,30586.9146,1.292891552,103.860846,DT
PROMENADE,CC4,31080.6082,30623.0174,1.293218051,103.8609921,CC
PUNGGOL,PTC,35689.139,43004.9202,1.405194701,103.9023911,PLRT
PUNGGOL,NE17,35651.3846,42933.2694,1.404546728,103.902052,NE
PUNGGOL POINT,PW3,36160.8276,44293.5561,1.41684852,103.9066284,PLRT
QUEENSTOWN,EW19,24946.8083,30804.6785,1.294860933,103.8058913,EW
RAFFLES PLACE,EW14,30019.1805,29617.6126,1.284125611,103.8514572,EW
RAFFLES PLACE,NS26,30019.1805,29617.6126,1.284125611,103.8514572,NS
RANGGUNG,SE5,35108.5942,40687.1255,1.384233561,103.897176,SLRT
REDHILL,EW18,26163.478,30218.8196,1.289562726,103.8168209,EW
RENJONG,SW8,34367.9437,40962.4782,1.386723922,103.8905227,SLRT
RIVIERA,PE4,37219.8293,41825.1114,1.394524496,103.9161415,PLRT
ROCHOR,DT13,30126.0006,31805.9862,1.306800025,103.8496427,DT
RUMBIA,SE2,36085.5526,41487.1568,1.391468497,103.9059522,SLRT
SAM KEE,PW1,35958.3967,43493.447,1.409612685,103.9048099,PLRT
